+----------------------------+---------------------------------------------------------+---------+-----------------------------------------------------+----------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Don't use the item ID for anything "proper"!!                                                                                                                                                                                                                                                                                                                                                                                                                            |
| It's provided here for completeness's sake, it's different in every world.                                                                                                                                                                                                                                                                                                                                                                                               |
+----------------------------+---------------------------------------------------------+---------+-----------------------------------------------------+----------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                   | Registry name                                           | Item ID | Display name                                        | Recipe name                                                                                              | Tags                                                                                                                                                                                                   |
+----------------------------+---------------------------------------------------------+---------+-----------------------------------------------------+----------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Akashic Tome               | akashictome:tome                                        |    4909 | Akashic Tome                                        | akashictome:tome                                                                                         |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:128_cubed_spatial_cell_component    |    3541 | 128³ Spatial Component                              | appliedenergistics2:network/cells/spatial_components_1                                                   |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:128_cubed_spatial_storage_cell      |    3631 | 128³ Spatial Storage Cell                           | appliedenergistics2:network/cells/spatial_storage_cell_128_cubed                                         |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:128_cubed_spatial_storage_cell      |    3631 | 128³ Spatial Storage Cell                           | appliedenergistics2:network/cells/spatial_storage_cell_128_cubed_storage                                 |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:16_cubed_spatial_cell_component     |    3540 | 16³ Spatial Component                               | appliedenergistics2:network/cells/spatial_components_0                                                   |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:16_cubed_spatial_storage_cell       |    3630 | 16³ Spatial Storage Cell                            | appliedenergistics2:network/cells/spatial_storage_cell_16_cubed                                          |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:16_cubed_spatial_storage_cell       |    3630 | 16³ Spatial Storage Cell                            | appliedenergistics2:network/cells/spatial_storage_cell_16_cubed_storage                                  |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:16k_cell_component                  |    3563 | 16k ME Storage Component                            | appliedenergistics2:network/cells/storage_components_cell_16k_part                                       |                                                                                                                                                                                                        |
| Applied Energistics 2      | appliedenergistics2:16k_crafting_storage                |    3511 | 16k Crafting Storage                                | appliedenergistics2:network/crafting/16k_cpu_crafting_storage                                            |                                                                                                                                                                                                        |
